Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Albania,Potatoes,2019,256455.0,1292.3,746.0,13.47
Albania,Potatoes,2020,262742.0,1074.5,402.0,13.17
Albania,Potatoes,2021,249433.0,1214.7,433.0,12.84
Albania,Potatoes,2022,265059.0,995.3,296.0,13.44
Albania,Potatoes,2023,272331.0,1178.7,296.0,13.86
Albania,"Rice, paddy",1990,23333.0,921.1,121.0,12.17
Albania,"Rice, paddy",1991,28538.0,1030.5,121.0,11.16
Albania,"Rice, paddy",1992,40000.0,873.7,121.0,11.84
Albania,"Rice, paddy",1993,41786.0,940.1,121.0,11.79
Albania,Sorghum,1990,12500.0,921.1,121.0,12.17
Albania,Sorghum,1991,6667.0,1030.5,121.0,11.16
Albania,Sorghum,1992,3773.0,873.7,121.0,11.84
Albania,Soybeans,1990,7000.0,921.1,121.0,12.17
Albania,Soybeans,1991,6066.0,1030.5,121.0,11.16
Albania,Soybeans,1992,4507.0,873.7,121.0,11.84
Albania,Soybeans,1993,7998.0,940.1,121.0,11.79
Albania,Soybeans,1994,7927.0,1033.2,201.0,12.81
Albania,Soybeans,1995,11791.0,1220.0,251.0,11.66
Albania,Soybeans,1996,15480.0,1311.0,262.0,11.31
Albania,Soybeans,1997,12768.0,923.4,274.0,11.6
Albania,Soybeans,1998,14327.0,1064.6,285.0,12.18
Albania,Soybeans,1999,17143.0,1193.2,297.0,12.51
Albania,Soybeans,2000,15000.0,808.8,308.0,12.85
Albania,Soybeans,2001,20000.0,934.5,319.0,12.44
Albania,Soybeans,2002,20000.0,1192.6,331.0,12.66
Albania,Soybeans,2003,12107.0,1068.0,342.0,12.4
Albania,Soybeans,2004,13333.0,1165.1,354.0,12.09
Albania,Soybeans,2005,17500.0,1231.2,365.0,11.68
Albania,Soybeans,2006,20000.0,1124.2,376.0,12.11
Albania,Soybeans,2007,20000.0,1155.8,388.0,12.9
Albania,Soybeans,2008,20000.0,1105.4,399.0,12.91
Albania,Soybeans,2009,16667.0,1421.2,411.0,12.77
Albania,Soybeans,2010,16667.0,1438.5,590.0,12.6
Albania,Soybeans,2011,18519.0,876.6,583.0,12.41
Albania,Soybeans,2012,13333.0,1109.0,362.0,12.96
Albania,Soybeans,2013,10000.0,1148.8,451.0,12.97
Albania,Soybeans,2014,16908.0,1427.5,457.0,13.12
Albania,Soybeans,2015,25000.0,1130.5,538.0,13.0
Albania,Soybeans,2016,25152.0,1200.7,584.0,12.9
Albania,Soybeans,2017,22026.0,1089.4,615.0,12.81
Albania,Soybeans,2018,29407.0,1022.0,442.0,13.49
Albania,Soybeans,2019,27626.0,1292.3,746.0,13.47
Albania,Soybeans,2020,25789.0,1074.5,402.0,13.17
Albania,Soybeans,2021,24142.0,1214.7,433.0,12.84
Albania,Soybeans,2022,28703.0,995.3,296.0,13.44
Albania,Soybeans,2023,28632.0,1178.7,296.0,13.86
Albania,Wheat,1990,30197.0,921.1,121.0,12.17
Albania,Wheat,1991,20698.0,1030.5,121.0,11.16
Albania,Wheat,1992,24388.0,873.7,121.0,11.84
Albania,Wheat,1993,29976.0,940.1,121.0,11.79
Albania,Wheat,1994,24745.0,1033.2,201.0,12.81
Albania,Wheat,1995,28703.0,1220.0,251.0,11.66
Albania,Wheat,1996,21741.0,1311.0,262.0,11.31
Albania,Wheat,1997,28516.0,923.4,274.0,11.6
Albania,Wheat,1998,28037.0,1064.6,285.0,12.18
Albania,Wheat,1999,24954.0,1193.2,297.0,12.51
Albania,Wheat,2000,30455.0,808.8,308.0,12.85
Albania,Wheat,2001,28220.0,934.5,319.0,12.44
Albania,Wheat,2002,31617.0,1192.6,331.0,12.66
Albania,Wheat,2003,28629.0,1068.0,342.0,12.4
Albania,Wheat,2004,31130.0,1165.1,354.0,12.09
Albania,Wheat,2005,31582.0,1231.2,365.0,11.68
Albania,Wheat,2006,30787.0,1124.2,376.0,12.11
Albania,Wheat,2007,35496.0,1155.8,388.0,12.9
Albania,Wheat,2008,40168.0,1105.4,399.0,12.91
Albania,Wheat,2009,40229.0,1421.2,411.0,12.77
Albania,Wheat,2010,39905.0,1438.5,590.0,12.6
Albania,Wheat,2011,42301.0,876.6,583.0,12.41
Albania,Wheat,2012,41096.0,1109.0,362.0,12.96
Albania,Wheat,2013,41292.0,1148.8,451.0,12.97
Albania,Wheat,2014,40001.0,1427.5,457.0,13.12
Albania,Wheat,2015,39511.0,1130.5,538.0,13.0
Albania,Wheat,2016,39000.0,1200.7,584.0,12.9
Albania,Wheat,2017,40367.0,1089.4,615.0,12.81
Albania,Wheat,2018,36927.0,1022.0,442.0,13.49
Albania,Wheat,2019,40680.0,1292.3,746.0,13.47
Albania,Wheat,2020,43271.0,1074.5,402.0,13.17
Albania,Wheat,2021,41305.0,1214.7,433.0,12.84
Albania,Wheat,2022,42963.0,995.3,296.0,13.44
Albania,Wheat,2023,40539.0,1178.7,296.0,13.86
Algeria,Maize,1990,16500.0,90.9,5743.0,23.53
Algeria,Maize,1991,19231.0,87.4,7094.0,22.85
Algeria,Maize,1992,22828.0,90.4,3876.0,22.83
Algeria,Maize,1993,12500.0,66.7,3710.0,23.07
Algeria,Maize,1994,4512.0,83.6,4059.0,23.44
Algeria,Maize,1995,16115.0,83.2,6256.0,23.54
Algeria,Maize,1996,17154.0,99.6,2191.0,23.26
Algeria,Maize,1997,21417.0,94.1,1822.0,23.66
Algeria,Maize,1998,17222.0,71.6,1499.0,23.47
Algeria,Maize,1999,22375.0,95.3,2228.0,23.61
Algeria,Maize,2000,36186.0,61.4,2537.0,23.52
Algeria,Maize,2001,27175.0,66.8,2847.0,23.74
Algeria,Maize,2002,33480.0,73.0,3156.0,23.66
Algeria,Maize,2003,28853.0,107.1,3465.0,23.77
Algeria,Maize,2004,31729.0,96.4,3774.0,23.5
Algeria,Maize,2005,33864.0,74.9,2811.0,23.52
Algeria,Maize,2006,65668.0,90.8,2504.0,23.72
Algeria,Maize,2007,85625.0,92.0,3563.0,23.57
Algeria,Maize,2008,44714.0,84.1,5720.0,23.41
Algeria,Maize,2009,30914.0,94.7,3168.0,23.8
Algeria,Maize,2010,25827.0,94.8,1870.0,23.95
Algeria,Maize,2011,23374.0,97.9,7612.0,23.71
Algeria,Maize,2012,25583.0,87.2,8980.0,23.7
Algeria,Maize,2013,33649.0,91.4,8270.0,23.46
Algeria,Maize,2014,26165.0,78.6,7152.0,23.86
Algeria,Maize,2015,39242.0,78.6,4517.0,23.75
Algeria,Maize,2016,45122.0,69.2,4153.0,23.91
Algeria,Maize,2017,13007.0,77.5,6067.0,23.81
Algeria,Maize,2018,44416.0,95.8,6067.0,23.48
Algeria,Maize,2019,41539.0,79.8,6067.0,23.61
Algeria,Maize,2020,60739.0,62.6,6067.0,23.72
Algeria,Maize,2021,51278.0,63.4,6067.0,23.86
Algeria,Maize,2022,55000.0,58.5,6067.0,24.05
Algeria,Maize,2023,60000.0,61.1,6067.0,23.96
Algeria,Potatoes,1990,78936.0,90.9,5743.0,23.53
Algeria,Potatoes,1991,90747.0,87.4,7094.0,22.85
Algeria,Potatoes,1992,107917.0,90.4,3876.0,22.83
Algeria,Potatoes,1993,111215.0,66.7,3710.0,23.07
Algeria,Potatoes,1994,95078.0,83.6,4059.0,23.44
Algeria,Potatoes,1995,136768.0,83.2,6256.0,23.54
Algeria,Potatoes,1996,134629.0,99.6,2191.0,23.26
Algeria,Potatoes,1997,141042.0,94.1,1822.0,23.66
Algeria,Potatoes,1998,160256.0,71.6,1499.0,23.47
Algeria,Potatoes,1999,153532.0,95.3,2228.0,23.61
Algeria,Potatoes,2000,166143.0,61.4,2537.0,23.52
Algeria,Potatoes,2001,147018.0,66.8,2847.0,23.74
Algeria,Potatoes,2002,183774.0,73.0,3156.0,23.66
Algeria,Potatoes,2003,212037.0,107.1,3465.0,23.77
Algeria,Potatoes,2004,203585.0,96.4,3774.0,23.5
Algeria,Potatoes,2005,216267.0,74.9,2811.0,23.52
Algeria,Potatoes,2006,220689.0,90.8,2504.0,23.72
Algeria,Potatoes,2007,189927.0,92.0,3563.0,23.57
Algeria,Potatoes,2008,236393.0,84.1,5720.0,23.41
Algeria,Potatoes,2009,250764.0,94.7,3168.0,23.8
Algeria,Potatoes,2010,270526.0,94.8,1870.0,23.95
Algeria,Potatoes,2011,292806.0,97.9,7612.0,23.71
Algeria,Potatoes,2012,304291.0,87.2,8980.0,23.7
Algeria,Potatoes,2013,303218.0,91.4,8270.0,23.46
Algeria,Potatoes,2014,299247.0,78.6,7152.0,23.86
Algeria,Potatoes,2015,296099.0,78.6,4517.0,23.75
Algeria,Potatoes,2016,304506.0,69.2,4153.0,23.91
Algeria,Potatoes,2017,309524.0,77.5,6067.0,23.81
Algeria,Potatoes,2018,310916.0,95.8,6067.0,23.48
Algeria,Potatoes,2019,318011.0,79.8,6067.0,23.61
Algeria,Potatoes,2020,311744.0,62.6,6067.0,23.72
Algeria,Potatoes,2021,318649.0,63.4,6067.0,23.86
Algeria,Potatoes,2022,328809.0,58.5,6067.0,24.05
Algeria,Potatoes,2023,337851.0,61.1,6067.0,23.96
Algeria,"Rice, paddy",1990,28000.0,90.9,5743.0,23.53
Algeria,"Rice, paddy",1991,26786.0,87.4,7094.0,22.85
Algeria,"Rice, paddy",1992,24739.0,90.4,3876.0,22.83
Algeria,"Rice, paddy",1993,23121.0,66.7,3710.0,23.07
Algeria,"Rice, paddy",1994,21387.0,83.6,4059.0,23.44
Algeria,"Rice, paddy",1995,19615.0,83.2,6256.0,23.54
Algeria,"Rice, paddy",1996,17881.0,99.6,2191.0,23.26
Algeria,"Rice, paddy",1997,15000.0,94.1,1822.0,23.66
Algeria,"Rice, paddy",1998,15032.0,71.6,1499.0,23.47
Algeria,"Rice, paddy",1999,13983.0,95.3,2228.0,23.61
Algeria,"Rice, paddy",2000,13101.0,61.4,2537.0,23.52
Algeria,"Rice, paddy",2001,12371.0,66.8,2847.0,23.74
Algeria,"Rice, paddy",2002,13050.0,73.0,3156.0,23.66
Algeria,"Rice, paddy",2003,12888.0,107.1,3465.0,23.77
Algeria,"Rice, paddy",2004,12891.0,96.4,3774.0,23.5
Algeria,"Rice, paddy",2005,13053.0,74.9,2811.0,23.52
Algeria,"Rice, paddy",2006,12804.0,90.8,2504.0,23.72
Algeria,"Rice, paddy",2007,13407.0,92.0,3563.0,23.57
Algeria,"Rice, paddy",2008,13979.0,84.1,5720.0,23.41
Algeria,"Rice, paddy",2009,14615.0,94.7,3168.0,23.8
Algeria,"Rice, paddy",2010,15320.0,94.8,1870.0,23.95
Algeria,"Rice, paddy",2011,16089.0,97.9,7612.0,23.71
Algeria,"Rice, paddy",2012,16667.0,87.2,8980.0,23.7
Algeria,"Rice, paddy",2013,17778.0,91.4,8270.0,23.46
Algeria,"Rice, paddy",2014,17778.0,78.6,7152.0,23.86
Algeria,"Rice, paddy",2015,17939.0,78.6,4517.0,23.75
Algeria,"Rice, paddy",2016,17827.0,69.2,4153.0,23.91
Algeria,"Rice, paddy",2017,17939.0,77.5,6067.0,23.81
Algeria,"Rice, paddy",2018,17901.0,95.8,6067.0,23.48
Algeria,"Rice, paddy",2019,17889.0,79.8,6067.0,23.61
Algeria,"Rice, paddy",2020,17927.0,62.6,6067.0,23.72
Algeria,"Rice, paddy",2021,18823.0,63.4,6067.0,23.86
Algeria,"Rice, paddy",2022,18538.0,58.5,6067.0,24.05
Algeria,"Rice, paddy",2023,18787.0,61.1,6067.0,23.96
Algeria,Sorghum,1990,16571.0,90.9,5743.0,23.53
Algeria,Sorghum,1991,24231.0,87.4,7094.0,22.85
Algeria,Sorghum,1992,40000.0,90.4,3876.0,22.83
Algeria,Sorghum,1993,50000.0,66.7,3710.0,23.07
Algeria,Sorghum,1995,12667.0,83.2,6256.0,23.54
Algeria,Sorghum,1996,14750.0,99.6,2191.0,23.26
Algeria,Sorghum,1997,40000.0,94.1,1822.0,23.66
Algeria,Sorghum,1998,24500.0,71.6,1499.0,23.47
Algeria,Sorghum,1999,27000.0,95.3,2228.0,23.61
Algeria,Sorghum,2000,69500.0,61.4,2537.0,23.52
Algeria,Sorghum,2001,27750.0,66.8,2847.0,23.74
Algeria,Sorghum,2002,33900.0,73.0,3156.0,23.66
Algeria,Sorghum,2003,26391.0,107.1,3465.0,23.77
Algeria,Sorghum,2004,43316.0,96.4,3774.0,23.5
Algeria,Sorghum,2005,33486.0,74.9,2811.0,23.52
Algeria,Sorghum,2006,56728.0,90.8,2504.0,23.72
Algeria,Sorghum,2007,119059.0,92.0,3563.0,23.57
Algeria,Sorghum,2008,61786.0,84.1,5720.0,23.41
Algeria,Sorghum,2009,90465.0,94.7,3168.0,23.8
Algeria,Sorghum,2010,30286.0,94.8,1870.0,23.95
Algeria,Sorghum,2011,100000.0,97.9,7612.0,23.71
Algeria,Sorghum,2012,206000.0,87.2,8980.0,23.7
Algeria,Sorghum,2013,60000.0,91.4,8270.0,23.46
Algeria,Sorghum,2014,62000.0,78.6,7152.0,23.86
Algeria,Sorghum,2015,121689.0,78.6,4517.0,23.75
Algeria,Sorghum,2016,255214.0,69.2,4153.0,23.91
Algeria,Sorghum,2017,159391.0,77.5,6067.0,23.81
Algeria,Sorghum,2018,136660.0,95.8,6067.0,23.48
Algeria,Sorghum,2019,70227.0,79.8,6067.0,23.61
Algeria,Sorghum,2020,37647.0,62.6,6067.0,23.72
Algeria,Sorghum,2021,36762.0,63.4,6067.0,23.86
Algeria,Sorghum,2022,80389.0,58.5,6067.0,24.05
Algeria,Sorghum,2023,37204.0,61.1,6067.0,23.96
Algeria,Wheat,1990,6315.0,90.9,5743.0,23.53
Algeria,Wheat,1991,10809.0,87.4,7094.0,22.85
Algeria,Wheat,1992,9939.0,90.4,3876.0,22.83
Algeria,Wheat,1993,8097.0,66.7,3710.0,23.07
Algeria,Wheat,1994,7999.0,83.6,4059.0,23.44
Algeria,Wheat,1995,8924.0,83.2,6256.0,23.54
Algeria,Wheat,1996,13090.0,99.6,2191.0,23.26
Algeria,Wheat,1997,8016.0,94.1,1822.0,23.66
Algeria,Wheat,1998,8847.0,71.6,1499.0,23.47
Algeria,Wheat,1999,10711.0,95.3,2228.0,23.61
Algeria,Wheat,2000,9194.0,61.4,2537.0,23.52
Algeria,Wheat,2001,11104.0,66.8,2847.0,23.74
Algeria,Wheat,2002,10739.0,73.0,3156.0,23.66
Algeria,Wheat,2003,14480.0,107.1,3465.0,23.77
Algeria,Wheat,2004,13582.0,96.4,3774.0,23.5
Algeria,Wheat,2005,15057.0,74.9,2811.0,23.52
Algeria,Wheat,2006,15068.0,90.8,2504.0,23.72
Algeria,Wheat,2007,12742.0,92.0,3563.0,23.57
Algeria,Wheat,2008,11038.0,84.1,5720.0,23.41
Algeria,Wheat,2009,15975.0,94.7,3168.0,23.8
Algeria,Wheat,2010,14838.0,94.8,1870.0,23.95
Algeria,Wheat,2011,17405.0,97.9,7612.0,23.71
Algeria,Wheat,2012,17639.0,87.2,8980.0,23.7
Algeria,Wheat,2013,19100.0,91.4,8270.0,23.46
Algeria,Wheat,2014,14753.0,78.6,7152.0,23.86
Algeria,Wheat,2015,14640.0,78.6,4517.0,23.75
Algeria,Wheat,2016,11833.0,69.2,4153.0,23.91
Algeria,Wheat,2017,11501.0,77.5,6067.0,23.81
Algeria,Wheat,2018,20433.0,95.8,6067.0,23.48
Algeria,Wheat,2019,19630.0,79.8,6067.0,23.61
Algeria,Wheat,2020,16811.0,62.6,6067.0,23.72
Algeria,Wheat,2021,15843.0,63.4,6067.0,23.86
Algeria,Wheat,2022,16667.0,58.5,6067.0,24.05
Algeria,Wheat,2023,13889.0,61.1,6067.0,23.96
Angola,Cassava,1990,41177.0,1035.7,64.0,21.73
Angola,Cassava,1991,40295.0,1071.0,79.0,21.55
Angola,Cassava,1992,42295.0,932.5,23.0,21.69
Angola,Cassava,1993,42295.0,1042.5,169.0,21.58
Angola,Cassava,1994,58596.0,986.0,90.0,21.65
Angola,Cassava,1995,51000.0,960.4,336.0,21.93
Angola,Cassava,1996,48077.0,993.0,40.0,21.71
Angola,Cassava,1997,44205.0,1072.2,40.0,21.84
Angola,Cassava,1998,55728.0,1036.7,40.0,22.09
Angola,Cassava,1999,59821.0,1057.5,40.0,21.59
Angola,Cassava,2000,82992.0,1057.2,40.0,21.67
Angola,Cassava,2001,94072.0,1045.4,40.0,21.84
Angola,Cassava,2002,110071.0,1068.9,40.0,21.93
Angola,Cassava,2003,95667.0,1037.7,40.0,22.01
Angola,Cassava,2004,125605.0,1072.9,40.0,21.78
Angola,Cassava,2005,117628.0,1021.3,40.0,22.14
Angola,Cassava,2006,117201.0,1091.8,40.0,21.58
Angola,Cassava,2007,115387.0,1056.0,40.0,21.56
Angola,Cassava,2008,148084.0,1070.6,40.0,21.53
Angola,Cassava,2009,151759.0,1077.1,40.0,21.72
Angola,Cassava,2010,155782.0,1051.1,40.0,21.87
Angola,Cassava,2011,133649.0,1057.0,40.0,21.49
Angola,Cassava,2012,100073.0,1072.0,40.0,21.53
Angola,Cassava,2013,140517.0,1036.5,40.0,21.56
Angola,Cassava,2014,101060.0,1056.2,40.0,21.56
Angola,Cassava,2015,101331.0,1005.2,40.0,21.69
Angola,Cassava,2016,64436.0,1031.2,40.0,21.94
Angola,Cassava,2017,82402.0,1066.8,40.0,21.84
Angola,Cassava,2018,92469.0,1056.4,40.0,21.66
Angola,Cassava,2019,95210.0,1063.3,40.0,21.76
Angola,Cassava,2020,99381.0,1069.6,40.0,21.72
Angola,Cassava,2021,97025.0,1057.4,40.0,21.73
Angola,Cassava,2022,101532.0,1057.6,40.0,21.62
Angola,Cassava,2023,104259.0,1053.9,40.0,21.51
Angola,Maize,1990,2736.0,1035.7,64.0,21.73
Angola,Maize,1991,4013.0,1071.0,79.0,21.55
Angola,Maize,1992,3778.0,932.5,23.0,21.69
Angola,Maize,1993,2627.0,1042.5,169.0,21.58
Angola,Maize,1994,2463.0,986.0,90.0,21.65
Angola,Maize,1995,3517.0,960.4,336.0,21.93
Angola,Maize,1996,6993.0,993.0,40.0,21.71
Angola,Maize,1997,5959.0,1072.2,40.0,21.84
Angola,Maize,1998,7396.0,1036.7,40.0,22.09
Angola,Maize,1999,6361.0,1057.5,40.0,21.59
Angola,Maize,2000,5745.0,1057.2,40.0,21.67
Angola,Maize,2001,5754.0,1045.4,40.0,21.84
Angola,Maize,2002,6706.0,1068.9,40.0,21.93
Angola,Maize,2003,7559.0,1037.7,40.0,22.01
Angola,Maize,2004,5404.0,1072.9,40.0,21.78
Angola,Maize,2005,6736.0,1021.3,40.0,22.14
Angola,Maize,2006,4687.0,1091.8,40.0,21.58
Angola,Maize,2007,5091.0,1056.0,40.0,21.56
Angola,Maize,2008,7946.0,1070.6,40.0,21.53
Angola,Maize,2009,6614.0,1077.1,40.0,21.72
Angola,Maize,2010,7200.0,1051.1,40.0,21.87
Angola,Maize,2011,7376.0,1057.0,40.0,21.49
Angola,Maize,2012,7770.0,1072.0,40.0,21.53
Angola,Maize,2013,9467.0,1036.5,40.0,21.56
Angola,Maize,2014,10386.0,1056.2,40.0,21.56
Angola,Maize,2015,11234.0,1005.2,40.0,21.69
Angola,Maize,2016,9785.0,1031.2,40.0,21.94
Angola,Maize,2017,8935.0,1066.8,40.0,21.84
Angola,Maize,2018,10477.0,1056.4,40.0,21.66
Angola,Maize,2019,10666.0,1063.3,40.0,21.76
Angola,Maize,2020,10993.0,1069.6,40.0,21.72
Angola,Maize,2021,10836.0,1057.4,40.0,21.73
Angola,Maize,2022,11203.0,1057.6,40.0,21.62
Angola,Maize,2023,11551.0,1053.9,40.0,21.51
Angola,Potatoes,1990,40000.0,1035.7,64.0,21.73
Angola,Potatoes,1991,40000.0,1071.0,79.0,21.55
Angola,Potatoes,1992,40000.0,932.5,23.0,21.69
Angola,Potatoes,1993,70000.0,1042.5,169.0,21.58
Angola,Potatoes,1994,90000.0,986.0,90.0,21.65
Angola,Potatoes,1995,76942.0,960.4,336.0,21.93
Angola,Potatoes,1996,70000.0,993.0,40.0,21.71
Angola,Potatoes,1997,68571.0,1072.2,40.0,21.84
Angola,Potatoes,1998,62872.0,1036.7,40.0,22.09
Angola,Potatoes,1999,54597.0,1057.5,40.0,21.59
Angola,Potatoes,2000,29885.0,1057.2,40.0,21.67
Angola,Potatoes,2001,42552.0,1045.4,40.0,21.84
Angola,Potatoes,2002,42754.0,1068.9,40.0,21.93
Angola,Potatoes,2003,45212.0,1037.7,40.0,22.01
Angola,Potatoes,2004,20150.0,1072.9,40.0,21.78
Angola,Potatoes,2005,23646.0,1021.3,40.0,22.14
Angola,Potatoes,2006,52148.0,1091.8,40.0,21.58
Angola,Potatoes,2007,62138.0,1056.0,40.0,21.56
Angola,Potatoes,2008,85085.0,1070.6,40.0,21.53
Angola,Potatoes,2009,86509.0,1077.1,40.0,21.72
Angola,Potatoes,2010,87425.0,1051.1,40.0,21.87
Angola,Potatoes,2011,81366.0,1057.0,40.0,21.49
Angola,Potatoes,2012,69381.0,1072.0,40.0,21.53
Angola,Potatoes,2013,63303.0,1036.5,40.0,21.56
Angola,Potatoes,2014,63239.0,1056.2,40.0,21.56
Angola,Potatoes,2015,62866.0,1005.2,40.0,21.69
Angola,Potatoes,2016,62717.0,1031.2,40.0,21.94
Angola,Potatoes,2017,72079.0,1066.8,40.0,21.84
Angola,Potatoes,2018,71770.0,1056.4,40.0,21.66
Angola,Potatoes,2019,71174.0,1063.3,40.0,21.76
Angola,Potatoes,2020,71952.0,1069.6,40.0,21.72
Angola,Potatoes,2021,71754.0,1057.4,40.0,21.73
Angola,Potatoes,2022,73810.0,1057.6,40.0,21.62
Angola,Potatoes,2023,76069.0,1053.9,40.0,21.51
Angola,"Rice, paddy",1990,9512.0,1035.7,64.0,21.73
Angola,"Rice, paddy",1991,10000.0,1071.0,79.0,21.55
Angola,"Rice, paddy",1992,9142.0,932.5,23.0,21.69
Angola,"Rice, paddy",1993,8000.0,1042.5,169.0,21.58
Angola,"Rice, paddy",1994,8750.0,986.0,90.0,21.65
Angola,"Rice, paddy",1995,14615.0,960.4,336.0,21.93
Angola,"Rice, paddy",1996,17500.0,993.0,40.0,21.71
Angola,"Rice, paddy",1997,20000.0,1072.2,40.0,21.84
Angola,"Rice, paddy",1998,20000.0,1036.7,40.0,22.09
Angola,"Rice, paddy",1999,14235.0,1057.5,40.0,21.59
Angola,"Rice, paddy",2000,13454.0,1057.2,40.0,21.67
Angola,"Rice, paddy",2001,13701.0,1045.4,40.0,21.84
Angola,"Rice, paddy",2002,13198.0,1068.9,40.0,21.93
Angola,"Rice, paddy",2003,13768.0,1037.7,40.0,22.01
Angola,"Rice, paddy",2004,11584.0,1072.9,40.0,21.78
Angola,"Rice, paddy",2005,6977.0,1021.3,40.0,22.14
Angola,"Rice, paddy",2006,4947.0,1091.8,40.0,21.58
Angola,"Rice, paddy",2007,5143.0,1056.0,40.0,21.56
Angola,"Rice, paddy",2008,5084.0,1070.6,40.0,21.53
Angola,"Rice, paddy",2009,6028.0,1077.1,40.0,21.72
Angola,"Rice, paddy",2010,7403.0,1051.1,40.0,21.87
Angola,"Rice, paddy",2011,8914.0,1057.0,40.0,21.49
Angola,"Rice, paddy",2012,7703.0,1072.0,40.0,21.53
Angola,"Rice, paddy",2013,12744.0,1036.5,40.0,21.56
Angola,"Rice, paddy",2014,14064.0,1056.2,40.0,21.56
Angola,"Rice, paddy",2015,15068.0,1005.2,40.0,21.69
Angola,"Rice, paddy",2016,15295.0,1031.2,40.0,21.94
Angola,"Rice, paddy",2017,8638.0,1066.8,40.0,21.84
Angola,"Rice, paddy",2018,11523.0,1056.4,40.0,21.66
Angola,"Rice, paddy",2019,11931.0,1063.3,40.0,21.76
Angola,"Rice, paddy",2020,12375.0,1069.6,40.0,21.72
Angola,"Rice, paddy",2021,12266.0,1057.4,40.0,21.73
Angola,"Rice, paddy",2022,12323.0,1057.6,40.0,21.62
