orden_compra,id_tiempo,mes,id_cultivo,id_proveedor,canal_reventa,hectareas_contratadas,volumen_comprado_ton,precio_compra_usd_ton,precio_reventa_usd_ton,costo_total_usd,ingreso_reventa_usd,margen_bruto_usd,merma_pct
OC-1993-00017,1993,6,1,10,Mercado de exportación,72.4,256.7,208.13,249.96,53426.97,64164.73,10737.76,2.2
OC-1993-00018,1993,1,1,5,Mayoristas locales,195.6,677.68,215.39,252.98,145965.5,171439.49,25473.99,4.5
OC-1993-00019,1993,7,1,30,Industria procesadora,112.0,382.06,235.19,286.19,89856.69,109341.75,19485.06,5.9
OC-1993-00020,1993,9,1,28,Supermercados,148.3,499.99,231.59,272.77,115792.68,136382.27,20589.59,7.0
OC-1994-00021,1994,2,1,27,Industria procesadora,87.4,325.87,212.23,244.59,69159.39,79704.54,10545.15,8.7
OC-1994-00022,1994,5,1,28,Mercado de exportación,202.5,792.45,223.66,260.84,177239.37,206702.66,29463.29,4.2
OC-1994-00023,1994,9,1,12,Mercado de exportación,101.7,402.01,228.99,275.01,92056.27,110556.77,18500.5,3.3
OC-1995-00024,1995,7,1,5,Industria procesadora,89.9,320.14,235.4,269.14,75360.96,86162.48,10801.52,2.3
OC-1995-00025,1995,7,1,3,Industria procesadora,83.7,286.92,235.17,292.31,67474.98,83869.59,16394.61,6.0
OC-1995-00026,1995,3,1,35,Industria procesadora,181.3,634.17,227.74,277.63,144425.88,176064.62,31638.74,4.1
OC-1995-00027,1995,5,1,13,Supermercados,143.8,486.64,207.99,252.28,101216.25,122769.54,21553.29,7.2
OC-1995-00028,1995,5,1,37,Industria procesadora,109.7,375.72,225.39,269.31,84683.53,101185.15,16501.62,6.0
OC-1996-00029,1996,5,1,19,Industria procesadora,173.7,614.37,211.92,258.94,130197.29,159084.97,28887.68,6.6
OC-1996-00030,1996,10,1,11,Supermercados,58.5,203.04,232.74,270.59,47255.53,54940.59,7685.06,8.3
OC-1996-00031,1996,7,1,19,Supermercados,19.3,70.11,213.9,265.48,14996.53,18612.8,3616.27,4.0
OC-1996-00032,1996,8,1,17,Mayoristas locales,116.1,410.81,222.0,263.37,91199.82,108195.03,16995.21,6.5
OC-1996-00033,1996,4,1,33,Supermercados,128.4,445.9,206.0,239.45,91855.4,106770.75,14915.35,8.2
OC-1996-00034,1996,11,1,16,Mayoristas locales,90.6,328.94,226.53,267.36,74514.78,87945.4,13430.62,4.1
OC-1996-00035,1996,6,1,5,Industria procesadora,218.7,783.0,209.8,239.75,164273.4,187724.25,23450.85,5.4
OC-1997-00036,1997,1,1,37,Mercado de exportación,63.1,216.05,210.55,242.58,45489.33,52409.41,6920.08,8.9
OC-1997-00037,1997,1,1,40,Supermercados,87.7,301.5,235.73,283.21,71072.6,85387.81,14315.21,8.5
OC-1997-00038,1997,3,1,1,Supermercados,176.0,618.37,211.73,253.37,130927.48,156676.41,25748.93,6.5
OC-1997-00039,1997,2,1,18,Industria procesadora,24.5,84.07,236.45,288.73,19878.35,24273.53,4395.18,8.6
OC-1997-00040,1997,11,1,7,Mercado de exportación,37.2,133.87,218.25,266.96,29217.13,35737.94,6520.81,4.3
OC-1998-00041,1998,11,1,29,Supermercados,195.3,892.66,235.96,282.55,210632.05,252221.08,41589.03,7.2
OC-1998-00042,1998,10,1,3,Supermercados,201.7,943.49,228.63,273.13,215710.12,257695.42,41985.3,5.0
OC-1998-00043,1998,2,1,30,Industria procesadora,160.1,731.5,215.92,246.36,157945.48,180212.34,22266.86,7.2
OC-1999-00044,1999,5,1,8,Supermercados,131.1,499.61,219.73,251.71,109779.31,125756.83,15977.52,4.7
OC-1999-00045,1999,10,1,22,Industria procesadora,196.4,722.92,211.51,250.41,152904.81,181026.4,28121.59,8.0
OC-1999-00046,1999,9,1,21,Industria procesadora,187.5,691.62,217.39,264.72,150351.27,183085.65,32734.38,7.8
OC-1999-00047,1999,10,1,36,Mercado de exportación,112.2,411.69,230.8,270.98,95018.05,111559.76,16541.71,8.3
OC-1999-00048,1999,11,1,39,Mayoristas locales,160.9,612.48,231.12,275.31,141556.38,168621.87,27065.49,4.8
OC-2000-00049,2000,11,1,32,Industria procesadora,45.1,147.29,228.46,273.73,33649.87,40317.69,6667.82,6.5
OC-2000-00050,2000,7,1,27,Mercado de exportación,175.5,594.13,228.06,261.92,135497.29,155614.53,20117.24,3.0
OC-2000-00051,2000,5,1,23,Mercado de exportación,75.0,248.17,214.39,256.57,53205.17,63672.98,10467.81,5.3
OC-2000-00052,2000,8,1,18,Industria procesadora,175.4,559.73,217.31,268.6,121634.93,150343.48,28708.55,8.6
OC-2000-00053,2000,2,1,11,Mayoristas locales,91.6,311.41,231.37,276.13,72050.93,85989.64,13938.71,2.7
OC-2001-00054,2001,3,1,22,Industria procesadora,88.7,324.77,225.86,258.23,73352.55,83865.36,10512.81,3.7
OC-2001-00055,2001,7,1,24,Mercado de exportación,104.0,378.89,213.22,264.89,80786.93,100364.17,19577.24,4.1
OC-2001-00056,2001,4,1,28,Mayoristas locales,90.8,323.54,217.29,262.97,70302.01,85081.31,14779.3,6.2
OC-2001-00057,2001,7,1,16,Industria procesadora,141.7,504.94,212.28,247.92,107188.66,125184.72,17996.06,6.2
OC-2001-00058,2001,5,1,30,Mayoristas locales,150.8,549.07,227.81,261.58,125083.64,143625.73,18542.09,4.2
OC-2001-00059,2001,11,1,31,Industria procesadora,200.8,711.1,217.73,248.83,154827.8,176943.01,22115.21,6.8
OC-2001-00060,2001,4,1,33,Industria procesadora,132.0,491.36,219.5,265.03,107853.52,130225.14,22371.62,2.0
OC-2002-00061,2002,4,1,30,Mayoristas locales,27.1,99.67,232.78,280.78,23201.18,27985.34,4784.16,8.5
OC-2002-00062,2002,1,1,27,Mercado de exportación,40.6,158.2,229.83,269.63,36359.11,42655.47,6296.36,3.0
OC-2002-00063,2002,5,1,35,Industria procesadora,111.8,414.51,220.87,258.85,91552.82,107295.91,15743.09,7.7
OC-2002-00064,2002,3,1,36,Industria procesadora,139.8,526.58,235.33,270.6,123920.07,142492.55,18572.48,6.2
OC-2002-00065,2002,3,1,35,Supermercados,41.4,152.34,228.16,265.69,34757.89,40475.21,5717.32,8.3
OC-2003-00066,2003,5,1,17,Industria procesadora,205.6,774.84,212.67,245.57,164785.22,190277.46,25492.24,5.6
OC-2003-00067,2003,9,1,36,Mayoristas locales,96.0,365.08,226.29,262.82,82613.95,95950.33,13336.38,4.8
OC-2003-00068,2003,2,1,10,Industria procesadora,184.7,677.07,213.54,263.16,144581.53,178177.74,33596.21,8.2
OC-2004-00069,2004,6,1,26,Supermercados,30.4,109.97,205.93,246.01,22646.12,27053.72,4407.6,8.7
OC-2004-00070,2004,11,1,4,Industria procesadora,123.9,454.73,227.14,279.56,103287.37,127124.32,23836.95,7.3
OC-2004-00071,2004,10,1,24,Industria procesadora,37.0,142.0,232.49,271.85,33013.58,38602.7,5589.12,3.1
OC-2004-00072,2004,11,1,14,Supermercados,74.4,281.0,208.74,247.83,58655.94,69640.23,10984.29,4.7
OC-2004-00073,2004,10,1,28,Supermercados,219.7,839.73,222.36,277.65,186722.36,233151.03,46428.67,3.5
OC-2004-00074,2004,6,1,3,Mercado de exportación,38.6,142.25,233.75,290.3,33250.94,41295.18,8044.24,7.0
OC-2004-00075,2004,8,1,4,Industria procesadora,208.6,753.18,214.28,266.34,161391.41,200601.96,39210.55,8.8
OC-2005-00076,2005,10,1,5,Supermercados,215.1,881.68,210.68,252.69,185752.34,222791.72,37039.38,7.3
OC-2005-00077,2005,11,1,31,Industria procesadora,133.5,543.46,229.35,263.77,124642.55,143348.44,18705.89,7.9
OC-2005-00078,2005,1,1,5,Mayoristas locales,86.2,359.68,232.1,287.11,83481.73,103267.72,19785.99,5.6
OC-2005-00079,2005,11,1,21,Mayoristas locales,138.5,563.21,224.01,260.87,126164.67,146924.59,20759.92,8.0
OC-2005-00080,2005,9,1,20,Mercado de exportación,87.9,374.47,228.7,271.27,85641.29,101582.48,15941.19,3.6
OC-2005-00081,2005,10,1,26,Industria procesadora,152.7,617.42,227.69,283.48,140580.36,175026.22,34445.86,8.5
OC-2006-00082,2006,3,1,11,Industria procesadora,124.0,414.66,210.74,256.66,87385.45,106426.64,19041.19,2.4
OC-2006-00083,2006,9,1,23,Supermercados,141.7,462.01,223.75,258.25,103374.74,119314.08,15939.34,4.9
OC-2006-00084,2006,11,1,40,Mercado de exportación,107.1,344.62,235.87,274.32,81285.52,94536.16,13250.64,6.1
OC-2006-00085,2006,2,1,7,Supermercados,93.4,293.0,207.59,248.79,60823.87,72895.47,12071.6,8.5
OC-2006-00086,2006,10,1,16,Mayoristas locales,181.4,587.1,233.58,272.41,137134.82,159931.91,22797.09,5.6
OC-2007-00087,2007,7,1,25,Mercado de exportación,34.1,142.14,226.68,279.87,32220.3,39780.72,7560.42,7.6
OC-2007-00088,2007,10,1,34,Mercado de exportación,73.3,322.55,228.73,281.2,73776.86,90701.06,16924.2,2.4
OC-2007-00089,2007,10,1,15,Supermercados,161.3,698.31,229.22,285.62,160066.62,199451.3,39384.68,4.0
OC-2007-00090,2007,7,1,29,Industria procesadora,195.0,824.33,235.54,292.42,194162.69,241050.58,46887.89,6.3
OC-2007-00091,2007,10,1,3,Supermercados,84.9,353.64,217.92,253.9,77065.23,89789.2,12723.97,7.7
OC-2008-00092,2008,12,1,19,Supermercados,95.3,451.3,209.51,257.81,94551.86,116349.65,21797.79,7.5
OC-2008-00093,2008,12,1,1,Supermercados,201.2,993.53,234.01,290.39,232495.96,288511.18,56015.22,3.6
OC-2008-00094,2008,12,1,34,Mayoristas locales,154.8,747.42,214.87,268.36,160598.14,200577.63,39979.49,5.7
OC-2008-00095,2008,1,1,17,Supermercados,210.2,1034.44,236.46,290.71,244603.68,300722.05,56118.37,4.0
OC-2009-00096,2009,12,1,4,Supermercados,16.9,50.29,229.71,263.92,11552.12,13272.54,1720.42,4.6
OC-2009-00097,2009,6,1,34,Supermercados,173.7,508.6,235.15,288.67,119597.29,146817.56,27220.27,6.1
OC-2009-00098,2009,8,1,18,Mayoristas locales,203.9,619.59,237.37,290.88,147072.08,180226.34,33154.26,2.6
OC-2009-00099,2009,4,1,16,Mayoristas locales,171.7,504.69,241.15,293.73,121705.99,148242.59,26536.6,5.8
OC-2009-00100,2009,9,1,24,Supermercados,110.9,331.69,225.64,267.14,74842.53,88607.67,13765.14,4.1
OC-2009-00101,2009,6,1,2,Mercado de exportación,30.9,87.96,217.95,270.52,19170.88,23794.94,4624.06,8.9
OC-2010-00102,2010,8,1,5,Mercado de exportación,159.7,497.77,240.55,291.42,119738.57,145060.13,25321.56,2.7
OC-2010-00103,2010,12,1,11,Supermercados,180.1,526.44,235.91,284.82,124192.46,149940.64,25748.18,8.7
OC-2010-00104,2010,7,1,4,Mayoristas locales,143.1,449.05,217.65,258.1,97735.73,115899.8,18164.07,2.0
OC-2011-00105,2011,2,1,4,Supermercados,69.5,181.88,245.91,299.92,44726.11,54549.45,9823.34,7.7
OC-2011-00106,2011,12,1,28,Mayoristas locales,185.0,509.45,251.18,310.21,127963.65,158036.48,30072.83,2.8
OC-2011-00107,2011,6,1,34,Mercado de exportación,62.4,172.3,235.87,289.24,40640.4,49836.05,9195.65,2.5
OC-2011-00108,2011,7,1,39,Industria procesadora,198.3,514.3,251.73,304.47,129464.74,156588.92,27124.18,8.5
OC-2012-00109,2012,12,1,31,Industria procesadora,25.4,108.3,234.29,286.27,25373.61,31003.04,5629.43,6.1
OC-2012-00110,2012,8,1,20,Mercado de exportación,130.5,550.15,222.89,272.89,122622.93,150130.43,27507.5,7.2
OC-2012-00111,2012,12,1,8,Industria procesadora,189.1,808.45,214.45,263.19,173372.1,212775.96,39403.86,5.9
OC-2012-00112,2012,10,1,23,Mercado de exportación,118.9,527.1,220.89,263.41,116431.12,138843.41,22412.29,2.4
OC-2012-00113,2012,3,1,9,Mercado de exportación,94.1,395.26,213.17,249.68,84257.57,98688.52,14430.95,7.6
OC-2013-00114,2013,12,1,34,Mayoristas locales,94.8,230.26,266.84,325.94,61442.58,75050.94,13608.36,3.3
OC-2013-00115,2013,5,1,1,Mercado de exportación,79.2,183.27,288.11,337.31,52801.92,61818.8,9016.88,7.9
OC-2013-00116,2013,2,1,30,Mercado de exportación,179.8,434.26,285.91,333.38,124159.28,144773.6,20614.32,3.8
OC-2013-00117,2013,12,1,36,Mayoristas locales,25.4,59.92,263.62,319.64,15796.11,19152.83,3356.72,6.1
OC-2013-00118,2013,11,1,3,Industria procesadora,107.6,257.32,258.17,295.9,66432.3,76140.99,9708.69,4.8
OC-2013-00119,2013,1,1,3,Mercado de exportación,147.9,348.13,272.6,324.56,94900.24,112989.07,18088.83,6.3
OC-2014-00120,2014,11,1,30,Supermercados,113.9,643.12,231.32,264.72,148766.52,170246.73,21480.21,4.7
OC-2014-00121,2014,8,1,7,Supermercados,76.9,434.85,223.31,276.23,97106.35,120118.62,23012.27,4.6
OC-2014-00122,2014,9,1,11,Mercado de exportación,145.2,805.77,209.05,251.59,168446.22,202723.67,34277.45,6.4
OC-2015-00123,2015,10,1,25,Industria procesadora,45.5,185.96,222.77,273.1,41426.31,50785.68,9359.37,2.6
OC-2015-00124,2015,7,1,9,Supermercados,133.7,530.13,205.97,252.16,109190.88,133677.58,24486.7,5.6
OC-2015-00125,2015,11,1,10,Supermercados,154.5,596.63,229.66,267.17,137022.05,159401.64,22379.59,8.0
OC-2015-00126,2015,1,1,16,Mercado de exportación,162.4,642.17,219.47,264.78,140937.05,170033.77,29096.72,5.8
OC-2015-00127,2015,7,1,31,Mayoristas locales,178.2,681.5,226.79,274.81,154557.38,187283.02,32725.64,8.9
OC-2015-00128,2015,5,1,4,Supermercados,98.4,394.18,208.18,258.92,82060.39,102061.09,20000.7,4.6
OC-2016-00129,2016,12,1,25,Industria procesadora,41.9,203.02,229.99,272.03,46692.57,55227.53,8534.96,3.7
OC-2016-00130,2016,6,1,30,Mayoristas locales,191.0,901.44,229.86,271.3,207205.0,244560.67,37355.67,6.1
OC-2016-00131,2016,6,1,38,Industria procesadora,137.1,642.61,207.84,244.81,133560.06,157317.35,23757.29,6.8
OC-2016-00132,2016,7,1,21,Mercado de exportación,159.1,770.62,233.69,271.73,180086.19,209400.57,29314.38,3.6
OC-2017-00133,2017,4,1,28,Industria procesadora,98.1,562.91,225.47,280.92,126919.32,158132.68,31213.36,4.5
OC-2017-00134,2017,5,1,11,Industria procesadora,58.7,336.86,210.46,262.0,70895.56,88257.32,17361.76,4.5
OC-2017-00135,2017,8,1,30,Industria procesadora,77.5,438.51,218.48,251.2,95805.66,110153.71,14348.05,5.8
OC-2017-00136,2017,10,1,2,Mercado de exportación,60.4,336.37,219.58,251.3,73860.12,84529.78,10669.66,7.3
OC-2017-00137,2017,3,1,14,Mayoristas locales,120.6,701.87,233.7,276.06,164027.02,193758.23,29731.21,3.1
OC-2017-00138,2017,9,1,13,Mercado de exportación,18.9,107.11,216.39,269.78,23177.53,28896.14,5718.61,5.9
OC-2018-00139,2018,11,1,37,Mayoristas locales,146.6,831.5,209.27,244.48,174008.0,203285.12,29277.12,5.9
OC-2018-00140,2018,10,1,34,Industria procesadora,209.2,1179.44,214.88,266.81,253438.07,314686.39,61248.32,6.5
OC-2018-00141,2018,10,1,15,Industria procesadora,140.1,779.55,212.7,248.53,165810.28,193741.56,27931.28,7.7
OC-2018-00142,2018,6,1,5,Mayoristas locales,159.0,900.36,227.48,263.18,204813.89,236956.74,32142.85,6.0
OC-2018-00143,2018,12,1,31,Supermercados,16.9,94.59,214.96,254.0,20333.07,24025.86,3692.79,7.0
OC-2018-00144,2018,11,1,22,Industria procesadora,141.3,834.26,226.92,282.38,189310.28,235578.34,46268.06,2.1
OC-2019-00145,2019,3,1,2,Mercado de exportación,126.9,627.79,211.96,256.48,133066.37,161015.58,27949.21,3.7
OC-2019-00146,2019,11,1,34,Industria procesadora,70.2,337.92,207.23,251.4,70027.16,84953.09,14925.93,6.2
OC-2019-00147,2019,1,1,23,Mercado de exportación,45.3,217.44,214.35,266.28,46608.26,57899.92,11291.66,6.6
OC-2019-00148,2019,11,1,37,Industria procesadora,196.0,953.91,222.91,256.03,212636.08,244229.58,31593.5,5.2
OC-2019-00149,2019,7,1,15,Mercado de exportación,87.1,410.28,223.68,262.86,91771.43,107846.2,16074.77,8.3
OC-2020-00150,2020,2,1,28,Mayoristas locales,106.6,422.16,231.32,281.49,97654.05,118833.82,21179.77,7.8
OC-2020-00151,2020,10,1,37,Industria procesadora,87.9,368.16,208.47,251.27,76750.32,92507.56,15757.24,2.5
OC-2020-00152,2020,1,1,7,Industria procesadora,182.5,748.61,208.83,246.56,156332.23,184577.28,28245.05,4.5
OC-2020-00153,2020,1,1,7,Industria procesadora,215.0,877.18,222.51,255.03,195181.32,223707.22,28525.9,5.0
OC-2020-00154,2020,1,1,12,Industria procesadora,75.8,315.56,228.99,284.78,72260.08,89865.18,17605.1,3.1
OC-2020-00155,2020,5,1,28,Supermercados,50.9,209.34,230.95,265.4,48347.07,55558.84,7211.77,4.2
OC-2020-00156,2020,10,1,15,Industria procesadora,172.1,707.13,232.64,284.72,164506.72,201334.05,36827.33,4.4
OC-2021-00157,2021,10,1,20,Mercado de exportación,137.0,728.48,232.73,287.82,169539.15,209671.11,40131.96,3.4
OC-2021-00158,2021,11,1,28,Industria procesadora,85.3,455.4,218.8,261.54,99641.52,119105.32,19463.8,3.1
OC-2021-00159,2021,6,1,20,Mercado de exportación,204.0,1084.59,212.76,244.63,230757.37,265323.25,34565.88,3.4
OC-2021-00160,2021,8,1,32,Industria procesadora,115.7,586.08,234.91,282.3,137676.05,165450.38,27774.33,8.0
OC-2021-00161,2021,7,1,11,Mayoristas locales,134.9,692.28,222.38,260.94,153949.23,180643.54,26694.31,6.8
OC-2021-00162,2021,5,1,16,Mercado de exportación,43.2,220.78,227.16,270.5,50152.38,59720.99,9568.61,7.2
OC-2022-00163,2022,6,1,28,Supermercados,153.9,1184.9,235.89,286.65,279506.06,339651.58,60145.52,6.9
OC-2022-00164,2022,1,1,6,Industria procesadora,20.1,157.58,215.0,249.33,33879.7,39289.42,5409.72,5.2
OC-2022-00165,2022,1,1,3,Supermercados,207.4,1640.85,234.53,269.9,384828.55,442865.41,58036.86,4.3
OC-2022-00166,2022,8,1,12,Industria procesadora,188.7,1486.47,226.12,263.03,336120.6,390986.2,54865.6,4.7
OC-2022-00167,2022,10,1,6,Supermercados,75.1,602.28,228.59,270.74,137675.19,163061.29,25386.1,2.9
OC-2022-00168,2022,7,1,35,Mercado de exportación,217.1,1664.44,225.59,260.95,375481.02,434335.62,58854.6,7.3
OC-2023-00169,2023,9,1,12,Industria procesadora,31.7,193.51,230.1,271.99,44526.65,52632.78,8106.13,3.0
OC-2023-00170,2023,12,1,9,Industria procesadora,100.9,602.02,235.54,285.73,141799.79,172015.17,30215.38,5.2
OC-2023-00171,2023,7,1,40,Industria procesadora,167.6,1011.17,226.55,282.08,229080.56,285230.83,56150.27,4.2
OC-2023-00172,2023,12,1,36,Industria procesadora,27.7,167.37,208.45,244.23,34888.28,40876.78,5988.5,3.9
OC-1990-00173,1990,10,2,16,Mercado de exportación,171.0,173.57,355.58,420.09,61718.02,72915.02,11197.0,4.3
OC-1990-00174,1990,9,2,11,Industria procesadora,34.9,34.74,377.61,431.6,13118.17,14993.78,1875.61,6.1
OC-1990-00175,1990,10,2,20,Mayoristas locales,120.3,123.3,352.73,417.64,43491.61,51495.01,8003.4,3.3
OC-1990-00176,1990,10,2,1,Mercado de exportación,114.7,111.35,375.17,440.59,41775.18,49059.7,7284.52,8.4
OC-1990-00177,1990,2,2,15,Supermercados,129.9,133.15,373.43,444.36,49722.2,59166.53,9444.33,3.3
OC-1991-00178,1991,7,2,28,Supermercados,88.3,115.12,314.55,384.64,36211.0,44279.76,8068.76,5.7
OC-1991-00179,1991,2,2,33,Supermercados,37.9,50.08,326.25,380.41,16338.6,19050.93,2712.33,4.5
OC-1991-00180,1991,7,2,29,Industria procesadora,30.1,40.34,308.79,375.73,12456.59,15156.95,2700.36,2.9
OC-1992-00181,1992,1,2,37,Supermercados,146.5,139.41,365.05,438.35,50891.62,61110.37,10218.75,8.6
OC-1992-00182,1992,5,2,3,Supermercados,160.6,160.91,368.18,423.09,59243.84,68079.41,8835.57,3.8
OC-1992-00183,1992,5,2,40,Mayoristas locales,59.2,57.79,365.22,419.47,21106.06,24241.17,3135.11,6.2
OC-1992-00184,1992,10,2,27,Supermercados,192.4,183.16,379.06,460.83,69428.63,84405.62,14976.99,8.6
OC-1992-00185,1992,12,2,2,Industria procesadora,42.2,40.17,348.54,422.32,14000.85,16964.59,2963.74,8.5
OC-1992-00186,1992,12,2,22,Industria procesadora,151.1,144.95,341.4,414.06,49485.93,60018.0,10532.07,7.9
OC-1993-00187,1993,1,2,23,Mayoristas locales,201.6,223.11,355.22,432.72,79253.13,96544.16,17291.03,3.3
OC-1993-00188,1993,1,2,38,Industria procesadora,135.4,148.82,364.55,440.31,54252.33,65526.93,11274.6,3.9
OC-1993-00189,1993,10,2,11,Industria procesadora,137.6,148.75,344.69,388.61,51272.64,57805.74,6533.1,5.6
OC-1993-00190,1993,9,2,19,Industria procesadora,92.6,100.54,353.29,415.98,35519.78,41822.63,6302.85,5.1
OC-1993-00191,1993,1,2,10,Mercado de exportación,80.7,89.49,332.62,387.84,29766.16,34707.8,4941.64,3.0
OC-1993-00192,1993,7,2,29,Industria procesadora,89.4,97.46,357.92,430.24,34882.88,41931.19,7048.31,4.7
OC-1994-00193,1994,11,2,7,Mayoristas locales,143.5,147.05,331.91,377.58,48807.37,55523.14,6715.77,8.6
OC-1994-00194,1994,11,2,15,Mercado de exportación,170.0,183.76,353.58,410.08,64973.86,75356.3,10382.44,3.6
OC-1994-00195,1994,10,2,15,Supermercados,73.7,80.81,343.2,410.8,27733.99,33196.75,5462.76,2.2
OC-1994-00196,1994,11,2,7,Mercado de exportación,195.7,211.13,356.23,432.27,75210.84,91265.17,16054.33,3.8
OC-1994-00197,1994,8,2,16,Supermercados,23.5,25.32,366.12,438.14,9270.16,11093.7,1823.54,4.0
OC-1994-00198,1994,3,2,12,Industria procesadora,180.8,189.11,363.25,435.26,68694.21,82312.02,13617.81,6.7
OC-1995-00199,1995,3,2,10,Industria procesadora,73.6,81.63,341.35,395.49,27864.4,32283.85,4419.45,4.0
OC-1995-00200,1995,4,2,14,Industria procesadora,109.9,118.68,328.02,384.2,38929.41,45596.86,6667.45,6.5
OC-1995-00201,1995,2,2,21,Mercado de exportación,27.5,30.04,352.86,427.82,10599.91,12851.71,2251.8,5.3
OC-1996-00202,1996,12,2,16,Industria procesadora,190.3,199.45,321.91,390.53,64204.95,77891.21,13686.26,8.3
OC-1996-00203,1996,8,2,36,Industria procesadora,39.2,42.3,323.7,377.84,13692.51,15982.63,2290.12,5.4
OC-1996-00204,1996,2,2,6,Mayoristas locales,33.0,34.6,352.21,418.86,12186.47,14492.56,2306.09,8.3
OC-1996-00205,1996,12,2,33,Mayoristas locales,148.9,161.39,354.16,413.92,57157.88,66802.55,9644.67,5.1
OC-1996-00206,1996,3,2,24,Mercado de exportación,90.2,94.98,341.36,386.64,32422.37,36723.07,4300.7,7.9
OC-1996-00207,1996,7,2,7,Industria procesadora,95.3,100.63,325.42,367.28,32747.01,36959.39,4212.38,7.6
OC-1996-00208,1996,2,2,27,Mayoristas locales,135.7,147.72,330.86,377.76,48874.64,55802.71,6928.07,4.7
OC-1997-00209,1997,7,2,1,Industria procesadora,185.0,196.02,322.91,378.03,63296.82,74101.44,10804.62,7.7
OC-1997-00210,1997,11,2,23,Mercado de exportación,102.9,113.8,323.96,395.53,36866.65,45011.31,8144.66,3.7
OC-1997-00211,1997,8,2,20,Supermercados,115.3,121.88,358.73,404.74,43722.01,49329.71,5607.7,7.9
OC-1997-00212,1997,7,2,19,Mayoristas locales,90.8,96.38,330.76,391.68,31878.65,37750.12,5871.47,7.6
OC-1997-00213,1997,1,2,3,Mayoristas locales,28.6,30.33,326.92,389.45,9915.48,11812.02,1896.54,7.6
OC-1998-00214,1998,11,2,10,Industria procesadora,108.5,112.57,339.94,392.55,38267.05,44189.35,5922.3,3.5
OC-1998-00215,1998,5,2,31,Industria procesadora,25.1,26.27,371.79,443.65,9766.92,11654.69,1887.77,2.4
OC-1998-00216,1998,10,2,1,Industria procesadora,151.5,149.42,374.71,437.16,55989.17,65320.45,9331.28,8.2
OC-1998-00217,1998,11,2,20,Industria procesadora,130.5,134.61,339.16,398.6,45654.33,53655.55,8001.22,4.0
OC-1999-00218,1999,8,2,24,Mayoristas locales,94.3,107.35,349.72,401.58,37542.44,43109.61,5567.17,3.6
OC-1999-00219,1999,7,2,12,Supermercados,51.0,58.11,328.58,381.08,19093.78,22144.56,3050.78,3.6
OC-1999-00220,1999,8,2,6,Supermercados,25.4,28.98,327.5,393.8,9490.95,11412.32,1921.37,3.4
OC-1999-00221,1999,1,2,14,Mercado de exportación,32.4,35.67,324.14,385.28,11562.07,13742.94,2180.87,6.9
OC-1999-00222,1999,6,2,20,Industria procesadora,15.6,17.14,358.58,411.21,6146.06,7048.14,902.08,7.3
OC-1999-00223,1999,12,2,27,Mercado de exportación,137.6,158.92,330.92,382.24,52589.81,60745.58,8155.77,2.2
OC-2000-00224,2000,11,2,26,Supermercados,206.8,294.04,308.1,357.29,90593.72,105057.55,14463.83,2.7
OC-2000-00225,2000,4,2,2,Industria procesadora,105.9,149.54,312.44,378.64,46722.28,56621.83,9899.55,3.3
OC-2000-00226,2000,9,2,17,Industria procesadora,79.8,110.52,314.18,356.81,34723.17,39434.64,4711.47,5.3
